,seance_ID,groupe_ID,file_ID,role,messageID,utterance_num,message,forme,ton,content,nature,formv2
0,1,0,023a3090-7b0a-48c4-93f0-c200d9afce41,Navigator,0,0,"Tu es qui ,",question,neutral,notRelatedToProgramming_Other,askingForHelp,question
1,1,0,023a3090-7b0a-48c4-93f0-c200d9afce41,Navigator,1,0,On se met 5 partout ok ?,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
2,1,1,0435458c-dc49-4094-b970-1db125fc235c,Driver,2,0,Opé,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
3,1,1,0435458c-dc49-4094-b970-1db125fc235c,Driver,3,0,Opé lmkt,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
4,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,4,0,A PAR SA LE COUZ ,positiveSentence,negativeTone,notRelatedToProgramming_Other,noFeedback,neutral
5,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,5,0,Opé ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
6,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,6,0,Ou lé jolie ? ,question,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
7,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,7,0,A ou ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
8,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,8,0,Commencé ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
9,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,9,0,Comment nous fé la ,question,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
10,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,10,0,c'est kwé faut fait ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
11,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,11,0,Lève ton main un coup la ,imperativeSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
12,1,1,0435458c-dc49-4094-b970-1db125fc235c,Navigator,12,0,aide a moins un coup la ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
13,1,2,0dfd43cb-9957-4102-954a-899ca075e56d,Driver,13,0,roro,neutral,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
14,1,2,0dfd43cb-9957-4102-954a-899ca075e56d,Driver,14,0,Qui est là,question,positiveTone,notRelatedToProgramming_Other,askingForHelp,question
15,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Driver,15,0,je ne sais pas comment voir le résultat ,negativeSentence,neutral,relatedToProgramming_notRelatedToTask,askingForHelp,neutral
16,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Navigator,16,0,faut mettre print(coincide),positiveSentence,positiveTone,relatedToProgramming_relatedToTask,correctResponse,neutral
17,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Driver,17,0,essaye,imperativeSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
18,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Navigator,18,0,attend,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
19,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Driver,19,0,je crois que c'est bon,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
20,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Navigator,20,0,attend,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
21,1,3,1869acdd-5df3-4c97-8bbd-5108569203eb,Navigator,21,0,attend,positiveSentence,neutral,notRelatedToProgramming_Other,noFeedback,neutral
22,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,22,0,Bonjour,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
23,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,23,0,Bonjour,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
24,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,24,0,tu pense si je fais un for in in range avec un for j in range dedans ça peut marcher? ,question,neutral,relatedToProgramming_relatedToTask,askingForHelp,question
25,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,25,0,oui ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
26,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,26,0,tu veux editer?,question,neutral,notRelatedToProgramming_Other,askingForHelp,question
27,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,27,0,comme tu veux,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
28,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,28,0,je teste si ça marche pas on echange,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
29,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,29,0,vsy ,positiveSentence,positiveTone,notRelatedToProgramming_Other,noFeedback,neutral
30,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Navigator,30,0,"en vrai c'est pas mieux de faire un ""if len(a) != len(b)""",positiveSentence,positiveTone,relatedToProgramming_relatedToTask,correctResponse,neutral
31,1,4,1db9dee2-2702-457f-aa07-6b60589446ce,Driver,31,0,tu veux teste?,question,neutral,notRelatedToProgramming_Other,askingForHelp,question
